MeetName,CompYear,Level,Event,Median,MedAbsDev,Mean,StdDev
Commonwealth Cup,2024,4,Beam,8.9,0.3,8.825,0.439
Commonwealth Cup,2024,4,Floor,9.225,0.225,9.128,0.41
Commonwealth Cup,2024,4,All Around,35.125,1.0,35.108,1.687
Commonwealth Cup,2024,5,Vault,9.0,0.35,8.993,0.455
Commonwealth Cup,2024,5,Bars,8.35,0.45,8.363,0.681
Commonwealth Cup,2024,5,Beam,8.65,0.25,8.588,0.492
Commonwealth Cup,2024,5,Floor,9.25,0.25,9.132,0.507
Commonwealth Cup,2024,5,All Around,35.0,1.3,34.33,3.362
Commonwealth Cup,2024,8,Vault,8.5,0.4,8.494,0.512
Commonwealth Cup,2024,8,Bars,8.8,0.5,8.556,0.899
Commonwealth Cup,2024,8,Beam,9.012,0.388,8.942,0.506
Commonwealth Cup,2024,8,Floor,9.075,0.225,8.979,0.366
Commonwealth Cup,2024,8,All Around,34.95,1.475,33.02,5.51
All American Challenge,2024,XD,Vault,8.7,0.25,8.709,0.324
All American Challenge,2024,XD,Bars,8.75,0.487,8.669,0.768
All American Challenge,2024,XD,Beam,9.075,0.35,8.971,0.458
All American Challenge,2024,XD,Floor,9.2,0.225,9.148,0.325
All American Challenge,2024,XD,All Around,35.8,0.9,35.019,2.674
All American Challenge,2024,8,Vault,8.638,0.4,8.747,0.471
All American Challenge,2024,8,Bars,8.675,0.45,8.52,0.721
All American Challenge,2024,8,Beam,8.95,0.338,8.936,0.567
All American Challenge,2024,8,Floor,9.262,0.163,9.188,0.347
All American Challenge,2024,8,All Around,35.3,1.2,33.191,6.61
All American Challenge,2024,XG,Vault,8.95,0.15,8.916,0.303
All American Challenge,2024,XG,Bars,8.775,0.275,8.669,0.572
All American Challenge,2024,XG,Beam,8.9,0.25,8.838,0.398
All American Challenge,2024,XG,Floor,8.9,0.225,8.882,0.344
All American Challenge,2024,XG,All Around,35.375,0.713,35.054,2.845
All American Challenge,2024,XP,Vault,8.913,0.188,8.949,0.275
All American Challenge,2024,XP,Bars,8.75,0.4,8.717,0.563
All American Challenge,2024,XP,Beam,9.0,0.263,8.82,0.495
All American Challenge,2024,XP,Floor,9.05,0.2,9.006,0.382
All American Challenge,2024,XP,All Around,35.7,0.85,34.234,5.354
All American Challenge,2024,3,Vault,8.8,0.2,8.813,0.421
All American Challenge,2024,3,Bars,8.95,0.35,8.825,0.697
All American Challenge,2024,3,Beam,8.8,0.3,8.752,0.468
All American Challenge,2024,3,Floor,9.3,0.3,9.187,0.55
All American Challenge,2024,3,All Around,35.75,1.1,35.421,2.415
All American Challenge,2024,4,Vault,8.913,0.225,8.922,0.35
All American Challenge,2024,4,Bars,8.688,0.387,8.64,0.597
All American Challenge,2024,4,Beam,8.925,0.312,8.886,0.439
All American Challenge,2024,4,Floor,9.1,0.25,9.031,0.437
All American Challenge,2024,4,All Around,35.575,0.937,35.211,1.995
All American Challenge,2024,5,Vault,9.163,0.088,9.194,0.144
All American Challenge,2024,5,Bars,8.675,0.35,8.565,0.514
All American Challenge,2024,5,Beam,8.425,0.325,8.312,0.507
All American Challenge,2024,5,Floor,9.25,0.125,8.946,0.771
All American Challenge,2024,5,All Around,35.175,0.663,34.058,3.133
All American Challenge,2024,XS,Vault,9.1,0.15,9.059,0.322
All American Challenge,2024,XS,Bars,9.2,0.2,9.131,0.384
All American Challenge,2024,XS,Beam,9.25,0.15,9.209,0.304
All American Challenge,2024,XS,Floor,9.0,0.2,8.931,0.371
All American Challenge,2024,XS,All Around,36.4,0.55,36.33,0.958
Cape Cod Classic,2024,8,Vault,8.3,0.225,8.414,0.386
Cape Cod Classic,2024,8,Bars,8.325,0.6,8.219,0.843
Cape Cod Classic,2024,8,Beam,8.7,0.3,8.53,0.629
Cape Cod Classic,2024,8,Floor,8.962,0.213,8.895,0.341
Cape Cod Classic,2024,8,All Around,33.5,1.35,30.632,7.213
Cape Cod Classic,2024,4,Vault,8.825,0.275,8.757,0.341
Cape Cod Classic,2024,4,Bars,8.312,0.525,8.169,0.956
Cape Cod Classic,2024,4,Beam,8.575,0.375,8.515,0.554
Cape Cod Classic,2024,4,Floor,9.0,0.25,8.92,0.42
Cape Cod Classic,2024,4,All Around,34.325,1.2,33.707,3.224
Cape Cod Classic,2024,5,Vault,9.15,0.2,9.122,0.268
Cape Cod Classic,2024,5,Bars,8.55,0.3,8.423,0.49
Cape Cod Classic,2024,5,Beam,8.4,0.3,8.347,0.511
